ID,peso
5790108217,846
11905110217,1936
5790108217,0
2537190110,0
11905110217,1777
5790108217,1233
2537190110,1107
5790108217,1338
11905110217,1535
2537190110,618
11905110217,559
11905110217,383
5790108217,349
2537190110,21
2537190110,32
11905110217,32
11905110217,2273
2537190110,574
11905110217,317
5790108217,410
5790108217,1472
5790108217,0
5790108217,0
2537190110,2434
2537190110,2007
11905110217,531
